id,sales
3000888,2.0
3000889,0.0
3000890,5.0
3000891,2374.0
3000892,0.0
3000893,512.325
3000894,12.0
3000895,1001.0
3000896,908.0
3000897,142.449
3000898,154.0
3000899,100.047
3000900,2918.5
3000901,26.0
3000902,2.0
3000903,12.0
3000904,36.0
3000905,2.0
3000906,222.0
3000907,25.5
3000908,22.5
3000909,8.5
3000910,95.0
3000911,9.0
3000912,330.918
3000913,175.5
3000914,6.0
3000915,5.0
3000916,326.156
3000917,136.441
3000918,4168.891
3000919,1.0
3000920,32.772
3000921,1.0
3000922,0.0
3000923,0.0
3000924,819.0
3000925,0.0
3000926,99.0
3000927,3.0
3000928,541.5
3000929,363.5
3000930,159.0
3000931,39.5
3000932,12.0
3000933,2262.0
3000934,0.0
3000935,0.0
3000936,13.0
3000937,7.5
3000938,0.0
3000939,163.0
3000940,5.0
3000941,0.0
3000942,0.0
3000943,0.0
3000944,1.0
3000945,160.053
3000946,204.0
3000947,1.0
3000948,2.0
3000949,130.26399
3000950,33.5
3000951,221.704
3000952,0.0
3000953,5.5
3000954,5.0
3000955,0.0
3000956,9.0
3000957,3892.0
3000958,0.0
3000959,624.0
3000960,14.0
3000961,1698.0
3000962,667.0
3000963,578.327
3000964,83.0
3000965,81.0
3000966,6629.827
3000967,8.5
3000968,0.5
3000969,19.0
3000970,24.0
3000971,1.0
3000972,480.0
3000973,6.0
3000974,1.0
3000975,15.0
3000976,37.0
3000977,0.0
3000978,563.20102
3000979,428.5
3000980,2.0
3000981,10.5
3000982,421.904
3000983,134.130498
3000984,1172.722
3000985,3.0
3000986,6.0
3000987,13.0
3000988,1.0
3000989,0.0
3000990,1329.0
3000991,0.0
3000992,145.0
3000993,4.0
3000994,742.0
3000995,549.0
3000996,240.0
3000997,93.0
3000998,39.0
3000999,2750.5
3001000,7.0
3001001,0.0
3001002,14.0
3001003,14.0
3001004,2.0
3001005,178.0
3001006,0.0
3001007,0.0
3001008,9.0
3001009,16.0
3001010,0.0
3001011,105.96
3001012,154.5
3001013,1.5
3001014,6.0
3001015,154.9975
3001016,25.0
3001017,354.251
3001018,0.0
3001019,1.0
3001020,0.0
3001021,0.0
3001022,0.0
3001023,972.0
3001024,0.0
3001025,101.0
3001026,3.0
3001027,512.0
3001028,327.0
3001029,145.0
3001030,23.0
3001031,32.0
3001032,2534.0
3001033,7.0
3001034,0.0
3001035,6.5
3001036,6.0
3001037,0.0
3001038,122.0
3001039,0.0
3001040,0.0
3001041,2.0
3001042,8.0
3001043,1.0
3001044,109.10900000000001
3001045,174.0
3001046,0.5
3001047,1.0
3001048,33.641
3001049,69.5
3001050,197.48250000000002
3001051,0.0
3001052,3.0
3001053,0.0
3001054,0.0
3001055,0.0
3001056,955.0
3001057,0.0
3001058,140.0
3001059,3.0
3001060,616.0
3001061,558.5
3001062,170.0
3001063,60.0
3001064,52.427499999999995
3001065,1988.0
3001066,0.5
3001067,0.0
3001068,8.0
3001069,38.0
3001070,0.5
3001071,171.0
3001072,4.0
3001073,0.0
3001074,0.0
3001075,18.0
3001076,4.5
3001077,196.208
3001078,158.0
3001079,0.0
3001080,10.0
3001081,64.789
3001082,81.5
3001083,371.439
3001084,0.0
3001085,3.0
3001086,2.5
3001087,0.0
3001088,1.5
3001089,1651.0
3001090,0.0
3001091,155.5
3001092,8.5
3001093,851.0
3001094,484.0
3001095,360.0
3001096,117.0
3001097,54.0
3001098,2413.0
3001099,9.0
3001100,0.0
3001101,14.0
3001102,23.0
3001103,0.5
3001104,227.0
3001105,7.0
3001106,0.0
3001107,4.0
3001108,11.5
3001109,2.0
3001110,140.717
3001111,165.5
3001112,1.5
3001113,10.0
3001114,149.526
3001115,42.0
3001116,729.027
3001117,0.0
3001118,8.0
3001119,1.0
3001120,0.0
3001121,1.0
3001122,1282.0
3001123,0.0
3001124,125.5
3001125,5.0
3001126,587.0
3001127,277.0
3001128,147.0
3001129,63.0
3001130,24.0
3001131,1925.0
3001132,11.5
3001133,1.0
3001134,8.0
3001135,8.0
3001136,0.0
3001137,133.0
3001138,0.0
3001139,0.0
3001140,0.0
3001141,28.0
3001142,0.5
3001143,66.86
3001144,129.0
3001145,0.0
3001146,2.0
3001147,65.468
3001148,23.0
3001149,498.758
3001150,2.0
3001151,4.0
3001152,11.0
3001153,0.0
3001154,3.0
3001155,2621.0
3001156,0.0
3001157,324.0
3001158,1.0
3001159,994.5
3001160,845.0
3001161,477.5
3001162,125.0
3001163,114.0
3001164,3711.5
3001165,5.0
3001166,1.0
3001167,25.5
3001168,22.0
3001169,0.0
3001170,236.5
3001171,0.0
3001172,0.0
3001173,5.5
3001174,37.0
3001175,2.0
3001176,225.851
3001177,256.0
3001178,1.0
3001179,7.0
3001180,349.383
3001181,92.0
3001182,1149.121
3001183,0.5
3001184,11.0
3001185,0.5
3001186,0.0
3001187,1.5
3001188,1862.0
3001189,0.0
3001190,532.0
3001191,8.0
3001192,456.5
3001193,725.0
3001194,183.972
3001195,138.0
3001196,44.0
3001197,2096.0
3001198,5.5
3001199,1.0
3001200,17.0
3001201,20.5
3001202,0.0
3001203,130.0
3001204,16.0
3001205,3.0
3001206,2.5
3001207,34.0
3001208,3.0
3001209,81.607
3001210,140.0
3001211,5.5
3001212,10.0
3001213,214.191
3001214,88.43450000000001
3001215,1416.068
3001216,8.0
3001217,16.744
3001218,4.0
3001219,1.0
3001220,1.0
3001221,1691.0
3001222,0.0
3001223,185.0
3001224,5.5
3001225,840.0
3001226,309.5
3001227,241.0
3001228,85.5
3001229,36.61
3001230,2642.0
3001231,10.0
3001232,2.5
3001233,13.0
3001234,16.0
3001235,0.0
3001236,174.5
3001237,5.0
3001238,0.0
3001239,5.0
3001240,4.0
3001241,3.5
3001242,116.289
3001243,151.0
3001244,1.0
3001245,1.0
3001246,46.365999
3001247,47.0
3001248,350.4165
3001249,0.0
3001250,5.0
3001251,1.0
3001252,0.0
3001253,9.0
3001254,2984.5
3001255,0.0
3001256,707.4605
3001257,6.0
3001258,1088.0
3001259,1009.0
3001260,294.918
3001261,139.0
3001262,158.207
3001263,4043.5
3001264,54.0
3001265,1.0
3001266,12.0
3001267,32.0
3001268,1.0
3001269,248.0
3001270,21.0
3001271,13.0
3001272,2.0
3001273,50.5
3001274,19.0
3001275,682.0485
3001276,252.0
3001277,8.5
3001278,12.0
3001279,455.72
3001280,170.829
3001281,3516.2495
3001282,1.0
3001283,37.9295
3001284,3.5
3001285,0.0
3001286,4.0
3001287,1985.0
3001288,0.0
3001289,361.0
3001290,7.0
3001291,779.5
3001292,802.0
3001293,540.3584999999999
3001294,62.0
3001295,54.3595
3001296,5898.352
3001297,7.5
3001298,1.0
3001299,21.0
3001300,8.5
3001301,0.0
3001302,238.0
3001303,4.5
3001304,3.0
3001305,4.0
3001306,16.0
3001307,2.0
3001308,244.398
3001309,200.0
3001310,8.0
3001311,3.0
3001312,221.358
3001313,62.890997999999996
3001314,722.731
3001315,6.0
3001316,10.33
3001317,8.0
3001318,1.0
3001319,3.0
3001320,2141.0
3001321,0.0
3001322,446.0
3001323,5.5
3001324,820.5
3001325,727.0
3001326,337.528
3001327,269.0
3001328,87.6625
3001329,3708.474
3001330,17.0
3001331,0.0
3001332,26.0
3001333,34.0
3001334,1.0
3001335,259.0
3001336,4.0
3001337,2.0
3001338,8.0
3001339,189.0
3001340,3.0
3001341,114.40350000000001
3001342,270.0
3001343,2.0
3001344,9.0
3001345,145.067
3001346,187.615
3001347,1127.05
3001348,3.0
3001349,2.0
3001350,1.0
3001351,0.0
3001352,0.0
3001353,964.0
3001354,0.0
3001355,107.0
3001356,1.0
3001357,634.0
3001358,333.0
3001359,162.0
3001360,67.0
3001361,39.185500000000005
3001362,2143.0
3001363,2.5
3001364,1.0
3001365,33.0
3001366,9.5
3001367,1.0
3001368,169.0
3001369,0.0
3001370,0.0
3001371,7.0
3001372,20.0
